g:id,title,description,link,g:image_link,g:additional_image_link,g:brand,g:gtin,g:mpn,g:price,g:sale_price,g:availability,g:condition,g:product_type,g:google_product_category,g:item_group_id,g:color,g:size,g:material,g:shipping_weight,g:product_rating,g:number_of_ratings,is_eligible_search,is_eligible_checkout,bandenmaat,breedte_mm,wielmaat,druk_bar,antilek,tubeless,wasvoorschrift,garantie,aansluiting,samenstelling,lichtdoorlatendheid
SKU-1114,Kenda Artikel 1114,"Kenda artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1114,https://voorbeeldshop.nl/img/sku-1114.jpg,,Kenda,,,84.41 EUR,,in stock,new,,3235,,Zwart,,,926 g,,,true,true,,,,,,,,,,,
SKU-1113,Kenda Artikel 1113,"Kenda artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1113,https://voorbeeldshop.nl/img/sku-1113.jpg,https://voorbeeldshop.nl/img/sku-1113-2.jpg,Kenda,,KEN-1113,69.10 EUR,,out of stock,,,3235,,,,,592 g,,,true,true,,,,,,,,,,,
SKU-1110,Vredestein Woontextiel 1110,Mooi product.,https://voorbeeldshop.nl/p/sku-1110,https://voorbeeldshop.nl/img/sku-1110.jpg,https://voorbeeldshop.nl/img/sku-1110-2.jpg,Vredestein,873437459054,,54.44 EUR,,in stock,new,Woontextiel > Gordijnstof,,,Wit,,,366 g,,,true,,,,,,,,,,,100% polyester,Transparant
SKU-1084,Michelin Elektronica 1084,Mooi product.,https://voorbeeldshop.nl/p/sku-1084,https://voorbeeldshop.nl/img/sku-1084.jpg,https://voorbeeldshop.nl/img/sku-1084-2.jpg,Michelin,873257501070,MIC-1084,87.10 EUR,,in stock,new,Elektronica > Verlichting,,,Wit,,,1092 g,4.5,211,true,,,,,,,,,,Micro-USB,,
SKU-1017,Vredestein Fietsbanden 1017,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1017,https://voorbeeldshop.nl/img/sku-1017.jpg,,Vredestein,,VRE-1017,35.34 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,,,,,,,true,true,37-622,37,,3-6 bar,Puncture Protect,,,,,,
SKU-1008,Michelin Fietsbanden 1008,Mooi product.,https://voorbeeldshop.nl/p/sku-1008,https://voorbeeldshop.nl/img/sku-1008.jpg,https://voorbeeldshop.nl/img/sku-1008-2.jpg,Michelin,879538558444,MIC-1008,39.86 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Wit,,,,,,true,true,47-559,40,26 inch,3-7 bar,,,,,,,
SKU-1087,Continental Elektronica 1087,"Continental elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1087,https://voorbeeldshop.nl/img/sku-1087.jpg,https://voorbeeldshop.nl/img/sku-1087-2.jpg,Continental,,CON-1087,66.91 EUR,,out of stock,new,Elektronica > Verlichting,,,Blauw,,,,,,true,true,,,,,,,,,Micro-USB,,
SKU-1101,Vredestein Woontextiel 1101,"Vredestein woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1101,https://voorbeeldshop.nl/img/sku-1101.jpg,,Vredestein,872986773296,VRE-1101,42.80 EUR,,in stock,new,Woontextiel > Gordijnstof,,,Blauw,,,,4.2,185,true,true,,,,,,,,,,100% polyester,Transparant
SKU-1013,Vredestein Fietsbanden 1013,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1013,https://voorbeeldshop.nl/img/sku-1013.jpg,,Vredestein,,,37.67 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,,,,,,,true,,37-622,,28 inch,3-5 bar,,,,,,,
SKU-1065,Vredestein Kleding 1065,Mooi product.,https://voorbeeldshop.nl/p/sku-1065,https://voorbeeldshop.nl/img/sku-1065.jpg,https://voorbeeldshop.nl/img/sku-1065-2.jpg,Vredestein,,VRE-1065,42.66 EUR,,out of stock,new,Kleding > Fietskleding,,GRP-213,Zwart,XL,Polyester/elastaan,,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1037,Kenda Fietsbanden 1037,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1037,https://voorbeeldshop.nl/img/sku-1037.jpg,,Kenda,,,55.17 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,Zwart,,,959 g,,,true,,40-622,,28 inch,,,,,,,,
SKU-1078,Michelin Elektronica 1078,Mooi product.,https://voorbeeldshop.nl/p/sku-1078,https://voorbeeldshop.nl/img/sku-1078.jpg,,Michelin,876568644357,MIC-1078,31.34 EUR,,in stock,,Elektronica > Verlichting,3235,,,,,,3.6,164,true,true,,,,,,,,,USB-C,,
SKU-1026,Schwalbe Fietsbanden 1026,Mooi product.,https://voorbeeldshop.nl/p/sku-1026,https://voorbeeldshop.nl/img/sku-1026.jpg,,Schwalbe,878749191595,SCH-1026,50.11 EUR,,in stock,,Fietsbanden > Stadsfiets,3235,,,,,708 g,,,true,,37-622,47,,4-5 bar,GreenGuard,,,,,,
SKU-1058,Michelin Kleding 1058,Mooi product.,https://voorbeeldshop.nl/p/sku-1058,https://voorbeeldshop.nl/img/sku-1058.jpg,https://voorbeeldshop.nl/img/sku-1058-2.jpg,Michelin,875538141076,,42.73 EUR,,in stock,,Kleding > Fietskleding,,GRP-211,,L,Polyester/elastaan,921 g,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1052,Kenda Kleding 1052,Mooi product.,https://voorbeeldshop.nl/p/sku-1052,https://voorbeeldshop.nl/img/sku-1052.jpg,https://voorbeeldshop.nl/img/sku-1052-2.jpg,Kenda,,KEN-1052,33.23 EUR,,in stock,new,Kleding > Fietskleding,,GRP-210,Wit,S,,,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1007,Continental Fietsbanden 1007,"Continental fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1007,https://voorbeeldshop.nl/img/sku-1007.jpg,,Continental,872553714997,,84.87 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Zwart,,,734 g,,,true,true,40-622,47,26 inch,3-5 bar,GreenGuard,,,,,,
SKU-1028,Vredestein Fietsbanden 1028,Mooi product.,https://voorbeeldshop.nl/p/sku-1028,https://voorbeeldshop.nl/img/sku-1028.jpg,,Vredestein,878074534209,,28.65 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,,,,,,,true,,47-559,37,28 inch,,Puncture Protect,,,,,,
SKU-1091,Vredestein Elektronica 1091,Mooi product.,https://voorbeeldshop.nl/p/sku-1091,https://voorbeeldshop.nl/img/sku-1091.jpg,https://voorbeeldshop.nl/img/sku-1091-2.jpg,Vredestein,879412823975,VRE-1091,44.92 EUR,,in stock,,Elektronica > Verlichting,,,,,,,,,true,,,,,,,,,,Micro-USB,,
SKU-1031,Schwalbe Fietsbanden 1031,"Schwalbe fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1031,https://voorbeeldshop.nl/img/sku-1031.jpg,,Schwalbe,872738485150,,48.00 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Wit,,,894 g,,,true,,47-559,,26 inch,4-5 bar,GreenGuard,,,,,,
SKU-1035,Continental Fietsbanden 1035,"Continental fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1035,https://voorbeeldshop.nl/img/sku-1035.jpg,,Continental,875061759525,,58.82 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,,,,true,true,37-622,47,28 inch,4-7 bar,,,,,,,
SKU-1081,Schwalbe Elektronica 1081,"Schwalbe elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1081,https://voorbeeldshop.nl/img/sku-1081.jpg,,Schwalbe,,SCH-1081,87.45 EUR,,in stock,,Elektronica > Verlichting,,,,,,,,,true,,,,,,,,,,Micro-USB,,
SKU-1022,Michelin Fietsbanden 1022,"Michelin fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1022,https://voorbeeldshop.nl/img/sku-1022.jpg,https://voorbeeldshop.nl/img/sku-1022-2.jpg,Michelin,876910330901,,37.13 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,,,,,3.5,233,true,true,40-622,40,,3-6 bar,Puncture Protect,,,,,,
SKU-1003,Michelin Fietsbanden 1003,Mooi product.,https://voorbeeldshop.nl/p/sku-1003,https://voorbeeldshop.nl/img/sku-1003.jpg,,Michelin,872811180649,MIC-1003,16.34 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,Blauw,,,,,,true,,40-622,,,,GreenGuard,,,,,,
SKU-1070,Michelin Kleding 1070,"Michelin kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1070,https://voorbeeldshop.nl/img/sku-1070.jpg,https://voorbeeldshop.nl/img/sku-1070-2.jpg,Michelin,876728994784,,60.93 EUR,,out of stock,new,Kleding > Fietskleding,3235,GRP-214,Blauw,M,Polyester/elastaan,231 g,4.4,152,true,,,,,,,,,,,,
SKU-1119,Continental Artikel 1119,"Continental artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1119,https://voorbeeldshop.nl/img/sku-1119.jpg,https://voorbeeldshop.nl/img/sku-1119-2.jpg,Continental,874415853186,CON-1119,86.88 EUR,,in stock,new,,,,Blauw,,,1242 g,4.2,92,true,true,,,,,,,,,,,
SKU-1036,Kenda Fietsbanden 1036,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1036,https://voorbeeldshop.nl/img/sku-1036.jpg,,Kenda,873293500360,,42.57 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,Blauw,,,,,,true,true,40-622,37,26 inch,4-7 bar,,,,,,,
SKU-1108,Kenda Woontextiel 1108,"Kenda woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1108,https://voorbeeldshop.nl/img/sku-1108.jpg,https://voorbeeldshop.nl/img/sku-1108-2.jpg,Kenda,,,18.77 EUR,,out of stock,new,Woontextiel > Gordijnstof,3235,,,,,643 g,,,true,,,,,,,,,,,,
SKU-1041,Kenda Kleding 1041,Mooi product.,https://voorbeeldshop.nl/p/sku-1041,https://voorbeeldshop.nl/img/sku-1041.jpg,https://voorbeeldshop.nl/img/sku-1041-2.jpg,Kenda,,,85.34 EUR,,in stock,new,Kleding > Fietskleding,,GRP-208,Wit,M,,,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1063,Michelin Kleding 1063,"Michelin kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1063,https://voorbeeldshop.nl/img/sku-1063.jpg,,Michelin,,,44.87 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-212,Wit,L,,258 g,,,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1009,Vredestein Fietsbanden 1009,Mooi product.,https://voorbeeldshop.nl/p/sku-1009,https://voorbeeldshop.nl/img/sku-1009.jpg,https://voorbeeldshop.nl/img/sku-1009-2.jpg,Vredestein,877284226671,VRE-1009,16.94 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,Zwart,,,,3.9,159,true,true,40-622,40,,,,,,,,,
SKU-1093,Vredestein Elektronica 1093,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1093,https://voorbeeldshop.nl/img/sku-1093.jpg,,Vredestein,878258010186,VRE-1093,51.67 EUR,,in stock,new,Elektronica > Verlichting,3235,,Wit,,,585 g,,,true,,,,,,,,,,USB-C,,
SKU-1055,Schwalbe Kleding 1055,Mooi product.,https://voorbeeldshop.nl/p/sku-1055,https://voorbeeldshop.nl/img/sku-1055.jpg,,Schwalbe,,,34.35 EUR,,in stock,new,Kleding > Fietskleding,,GRP-211,Zwart,XL,Polyester/elastaan,,4.9,11,true,,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1089,Vredestein Elektronica 1089,Mooi product.,https://voorbeeldshop.nl/p/sku-1089,https://voorbeeldshop.nl/img/sku-1089.jpg,,Vredestein,879998178700,VRE-1089,85.52 EUR,,in stock,new,Elektronica > Verlichting,3235,,Wit,,,,,,true,,,,,,,,,,USB-C,,
SKU-1100,Schwalbe Woontextiel 1100,"Schwalbe woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1100,https://voorbeeldshop.nl/img/sku-1100.jpg,https://voorbeeldshop.nl/img/sku-1100-2.jpg,Schwalbe,,,83.00 EUR,,in stock,,Woontextiel > Gordijnstof,3235,,Blauw,,,,,,true,,,,,,,,,,,,Transparant
SKU-1105,Schwalbe Woontextiel 1105,"Schwalbe woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1105,https://voorbeeldshop.nl/img/sku-1105.jpg,https://voorbeeldshop.nl/img/sku-1105-2.jpg,Schwalbe,,,59.03 EUR,,in stock,new,Woontextiel > Gordijnstof,,,Wit,,,,,,true,,,,,,,,,,,,
SKU-1060,Vredestein Kleding 1060,"Vredestein kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1060,https://voorbeeldshop.nl/img/sku-1060.jpg,https://voorbeeldshop.nl/img/sku-1060-2.jpg,Vredestein,878726272227,,63.59 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-212,Zwart,XL,Polyester/elastaan,942 g,,,true,,,,,,,,,,,,
SKU-1046,Continental Kleding 1046,"Continental kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1046,https://voorbeeldshop.nl/img/sku-1046.jpg,,Continental,873312437656,,45.76 EUR,,out of stock,new,Kleding > Fietskleding,,GRP-209,,S,Polyester/elastaan,,4.3,62,true,true,,,,,,,,,,,
SKU-1109,Michelin Woontextiel 1109,Mooi product.,https://voorbeeldshop.nl/p/sku-1109,https://voorbeeldshop.nl/img/sku-1109.jpg,,Michelin,871819540915,MIC-1109,10.21 EUR,,in stock,new,Woontextiel > Gordijnstof,3235,,,,,,,,true,,,,,,,,,,,100% polyester,Verduisterend
SKU-1039,Kenda Fietsbanden 1039,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1039,https://voorbeeldshop.nl/img/sku-1039.jpg,https://voorbeeldshop.nl/img/sku-1039-2.jpg,Kenda,876365525893,,40.09 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,Zwart,,,1202 g,,,true,,47-559,40,26 inch,,,,,,,,
SKU-1023,Vredestein Fietsbanden 1023,"Vredestein fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1023,https://voorbeeldshop.nl/img/sku-1023.jpg,,Vredestein,872355497594,VRE-1023,74.30 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,,,,1334 g,,,true,true,37-622,40,,4-6 bar,,,,,,,
SKU-1111,Vredestein Artikel 1111,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1111,https://voorbeeldshop.nl/img/sku-1111.jpg,https://voorbeeldshop.nl/img/sku-1111-2.jpg,Vredestein,878472024542,,22.02 EUR,,out of stock,new,,3235,,,,,,,,true,,,,,,,,,,,,
SKU-1011,Schwalbe Fietsbanden 1011,"Schwalbe fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1011,https://voorbeeldshop.nl/img/sku-1011.jpg,,Schwalbe,877680571969,SCH-1011,18.68 EUR,,out of stock,,Fietsbanden > Stadsfiets,,,Zwart,,,1239 g,,,true,,37-622,47,28 inch,4-7 bar,,,,,,,
SKU-1075,Kenda Elektronica 1075,Mooi product.,https://voorbeeldshop.nl/p/sku-1075,https://voorbeeldshop.nl/img/sku-1075.jpg,,Kenda,877470372592,KEN-1075,79.59 EUR,,in stock,new,Elektronica > Verlichting,,,Wit,,,,4.6,18,true,true,,,,,,,,,USB-C,,
SKU-1025,Vredestein Fietsbanden 1025,Mooi product.,https://voorbeeldshop.nl/p/sku-1025,https://voorbeeldshop.nl/img/sku-1025.jpg,,Vredestein,874810716013,VRE-1025,43.80 EUR,,in stock,new,Fietsbanden > Stadsfiets,3235,,,,,,,,true,,47-559,37,28 inch,,Puncture Protect,,,,,,
SKU-1010,Continental Fietsbanden 1010,"Continental fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1010,https://voorbeeldshop.nl/img/sku-1010.jpg,,Continental,,,29.69 EUR,,out of stock,new,Fietsbanden > Stadsfiets,3235,,Wit,,,,,,true,true,47-559,47,,3-7 bar,,,,,,,
SKU-1044,Kenda Kleding 1044,Mooi product.,https://voorbeeldshop.nl/p/sku-1044,https://voorbeeldshop.nl/img/sku-1044.jpg,,Kenda,871681282473,,75.64 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-208,Zwart,S,Polyester/elastaan,752 g,,,true,,,,,,,,,,,,
SKU-1085,Schwalbe Elektronica 1085,"Schwalbe elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1085,https://voorbeeldshop.nl/img/sku-1085.jpg,,Schwalbe,,SCH-1085,51.34 EUR,,out of stock,,Elektronica > Verlichting,,,,,,1129 g,,,true,true,,,,,,,,,USB-C,,
SKU-1071,Schwalbe Elektronica 1071,Mooi product.,https://voorbeeldshop.nl/p/sku-1071,https://voorbeeldshop.nl/img/sku-1071.jpg,,Schwalbe,,SCH-1071,72.52 EUR,,in stock,new,Elektronica > Verlichting,,,Wit,,,,5.0,91,true,,,,,,,,,2 jaar,Micro-USB,,
SKU-1074,Kenda Elektronica 1074,"Kenda elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1074,https://voorbeeldshop.nl/img/sku-1074.jpg,,Kenda,,KEN-1074,44.88 EUR,,in stock,new,Elektronica > Verlichting,3235,,Wit,,,,,,true,,,,,,,,,,,,
SKU-1094,Vredestein Elektronica 1094,"Vredestein elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1094,https://voorbeeldshop.nl/img/sku-1094.jpg,,Vredestein,879656253453,VRE-1094,24.34 EUR,,in stock,new,Elektronica > Verlichting,3235,,Wit,,,1041 g,,,true,,,,,,,,,,USB-C,,
SKU-1033,Schwalbe Fietsbanden 1033,"Schwalbe fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1033,https://voorbeeldshop.nl/img/sku-1033.jpg,,Schwalbe,,,50.82 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Wit,,,,,,true,true,47-559,47,26 inch,,Puncture Protect,,,,,,
SKU-1040,Kenda Fietsbanden 1040,"Kenda fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1040,https://voorbeeldshop.nl/img/sku-1040.jpg,,Kenda,,KEN-1040,35.69 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,,,,478 g,,,true,,47-559,37,,4-6 bar,GreenGuard,,,,,,
